,emotion,text,Clean_Text
0,Anger,@audiomano A mí tampoco me agrado mucho eso. Especialmente por tratarse de él. No hay justificación.,mí tampoco agrado mucho eso. Especialmente por tratarse de él. hay justificación.
1,Anger,"@DalasReview me encanta la terrible hipocresia y doble moral que tiene esta gente, claro, cuando ella te lo quita ILEGALMENTE no importa...","encanta la terrible hipocresia doble moral que tiene esta gente, claro, cuando ella te lo quita ILEGALMENTE importa..."
2,Anger,@tctelevision @calle7tc Terrible  esto!,Terrible esto!
3,Anger,"Qué perra rabia cuando tienes sueño pero no puedes dormir, no lo entiendo.","Qué perra rabia cuando tienes sueño pero puedes dormir, lo entiendo."
4,Anger,Le dije por su nombre y cerró la cuenta 😆,Le dije por su nombre cerró la cuenta 😆
5,Anger,@NANCYPAZOS manipularon los resultados de las Pazos... ahora una mesa pro militar...,manipularon los resultados de las Pazos... ahora una mesa pro militar...
6,Anger,"Que bien se siente pelear de nuevo, aunque esté bien tronco ","Que bien se siente pelear de nuevo, aunque esté bien tronco"
7,Anger,"@fiooresilva Fuera de joda si vi a tu hermana, vos sos la unica amargada que no sale nunca!!","Fuera de joda si vi tu hermana, vos sos la unica amargada que sale nunca!!"
8,Anger,"@a_tupper Un gran deportista, maldita depresión también se llevó a mi hermana menor.","Un gran deportista, maldita depresión también se llevó mi hermana menor."
9,Anger,Mi enojo dura 5 minutos y después ya te extraño.,Mi enojo dura 5 minutos después ya te extraño.
10,Anger,Bola de pendejos sin madre los que están asaltando coches en medio del tráfico #Rabia,Bola de pendejos sin madre los que están asaltando coches en medio del tráfico #Rabia
11,Anger,@omarfdosk8 @CaracolTV @DesafioCaracol Andrea fea mala aburrida gafa odiosa estupida sisañera chismosa etc etc etc,Andrea fea mala aburrida gafa odiosa estupida sisañera chismosa etc etc etc
12,Anger,No llevo ni 1h despierto y ya he tenido que pegarme una carrera para intentar pillar el tren... y perderlo. 😥,llevo ni 1h despierto ya tenido que pegarme una carrera para intentar pillar el tren... perderlo. 😥
13,Anger,"Usar ""LOL"" y ""equisdé"" en público y otras maneras de provocar.","Usar ""LOL"" ""equisdé"" en público otras maneras de provocar."
14,Anger,@quimicefa *Apunta furiosamente*,*Apunta furiosamente*
15,Anger,@feernandatj FERNANDA YA TE DIJE QUE NO,FERNANDA YA TE DIJE QUE
16,Anger,"Arreglo la moto y la vendo a la mierda, podrido de renegar ","Arreglo la moto la vendo la mierda, podrido de renegar"
17,Anger,@lesxlex Pero no eres amargada verdad?,Pero eres amargada verdad?
