emotion,text
Anger,@audiomano A mí tampoco me agrado mucho eso. Especialmente por tratarse de él. No hay justificación.
Anger,"@DalasReview me encanta la terrible hipocresia y doble moral que tiene esta gente, claro, cuando ella te lo quita ILEGALMENTE no importa..."
Anger,@tctelevision @calle7tc Terrible  esto!
Anger,"Qué perra rabia cuando tienes sueño pero no puedes dormir, no lo entiendo."
Anger,Le dije por su nombre y cerró la cuenta 😆
Anger,@NANCYPAZOS manipularon los resultados de las Pazos... ahora una mesa pro militar...
Anger,"Que bien se siente pelear de nuevo, aunque esté bien tronco "
Anger,"@fiooresilva Fuera de joda si vi a tu hermana, vos sos la unica amargada que no sale nunca!!"
Anger,"@a_tupper Un gran deportista, maldita depresión también se llevó a mi hermana menor."
Anger,Mi enojo dura 5 minutos y después ya te extraño.
Anger,Bola de pendejos sin madre los que están asaltando coches en medio del tráfico #Rabia
Anger,@omarfdosk8 @CaracolTV @DesafioCaracol Andrea fea mala aburrida gafa odiosa estupida sisañera chismosa etc etc etc
Anger,No llevo ni 1h despierto y ya he tenido que pegarme una carrera para intentar pillar el tren... y perderlo. 😥
Anger,"Usar ""LOL"" y ""equisdé"" en público y otras maneras de provocar."
Anger,@quimicefa *Apunta furiosamente*
Anger,@feernandatj FERNANDA YA TE DIJE QUE NO
Anger,"Arreglo la moto y la vendo a la mierda, podrido de renegar "
Anger,@lesxlex Pero no eres amargada verdad?
Anger,El PERÚ está canSadnessnesso de tanta Podredumbre Porquería y Kagadas del PresidenteDeLUJO!  No acierta una! Se dispara a los pies! NO AMA AL PERÚ!
Anger,Ahora me voy a ir a dormir enojado.
Anger,"Al cura le da miedo ponerlo yo creo, ya esta muy grande la maria elsa pa un cura #PerdonaNuestrosPecados"
Anger,"Como me van a decir gobernada, estoy indignada."
Anger,"Necesito personas que digan a todo ""si"" y no que salgan con ""peros"" "
Anger,Mañana en Ayunas 😭😭  Chingue su madre 😄
Anger,"Por cada minuto de enfado perdemos sesenta sejun,os de felicidad."
Anger,@Corakoraa @TribunalCJ ira a la basura.una pena perder tiempo en ir a la  justicia burguesa
Anger,"Yo me muerdo la lengua por no insultar, y a me lo devuelven así. Veo donde radica el mínimo respeto y educación 😐"
Anger,estoy: enfadada y yo nunca me enfado
Anger,Mi corazón es grande pero mas grande es mi enfado
Anger,el amargo sabor a traición
Anger,El Rey diciendo a l@s catalanes lo qué deben ser x coj... Madre qué país. Ah que ha dicho algo de l@s catalanes herid@s x la poli... #ironía
Anger,Encima se enojo vieron es más tonto
Anger,"@KloudZNiper Cosas que pasan. Estoy cansado de muchas historias a raiz del pelo. Pero mira el lado positivo, por fin te sigo."
Anger,"@Jonathan_Hdez3 si llegas a mi casa con unas así no me enojo, hasta te dejo entrar"
Anger,"Sospecho de María Dolores de Cospedal con una oreo envenenada, en el comedor"
Anger,"@hum0r @EPN ajajajjaa. Perdón, my Lord. Estoy a 1 minuto de que deje de darme risa, no a menos, como a 5 😂"
Anger,No creo que puedan comprender mi enojo eterno porque a Cinépolis se le ocurrió proyectar Mulan cuando estoy fuera del país 😡😡
Anger,Tengo es como ira de como me tienen la moto en él parqueadero
Anger,@europapress Es lo menos que se puede pedir y esperar ante tal afrenta golpista.
Anger,"Una noche ahogada en llanto, me juré a mi misma que no volvería a dejar que me tratarán como si no valiera nada."
Anger,@Jhosy2121 Cuándo me he enojado contigo oe JAJAJAJA la hago un finde!
Anger,"Uy, sí. Como me encanta ésta situación y como hay mil trucos #ironía. No hay arreglo, se reconstruye solo."
Anger,Que rabia cuando se me quita el sueño
Anger,por eso necesito estar re polle y perderme así las dejo de joder 
Anger,"Qué feo irse a dormir con bronca o tristeza no se que es, pero creo que es sensibilidad 😩"
Anger,"Quiero que mi hermana mire el internado y no quiere, es una soreta.. 😭"
Anger,"que les agarro asco, en ésta última, la minita rubia, de ojos claros, resentida porque se la cogió y se fue a buscar un tesoro +"
Anger,"@vaymosxpartes Insultos, denunciar la corrupción es insultar?"
Anger,@NanaBlurl Como asturiana postiza estoy: indignada.
Anger,Que pena pero a mi nadie tiene porque reclamarme las polas qué me tome!
Anger,Alguien se anda ganando su mentadita de madre 
Anger,"La canción de ""oye mujer"" es la cosa más desagradable y corriente que puede existir ugh! No la tolero ..."
Anger,Hoy me atendió un mozo q me gustó. Llegué a mi casa y no se cómo mierda hice pero ya averigüe nombre apellido y gusto musical entre otros.
Anger,No se aguantarme el enojo ni la cara de orto
Anger,Historias de un toledano enfurecido
Anger,No voy a decir que borralo porque cada vez que lo digo es peor 
Anger,Un asco a la gente resentida..
Anger,Neta ya cállense a la verga todos 
Anger,algunas personas tienen suerte de q tenga tanta paciencia xq ya las hubiese mando a la mierda
Anger,"@infiredannie ... Ofensa directa es una ofensa en la que intento hacer daño, si discrepas de mi pensamiento lo dices y punto"
Anger,Ayer pri se re enojo por que la descansábamos por audio con mi herma 😂😂😂
Anger,@MQuevedoF lamentable todos los destrozos y muertes a la GMV..nos da mas razon p la CONSTITUYENTE. VENCEREMOS.....!!!
Anger,Ya me arrepentí de haber mandado ese mensaje. 😟
Anger,@Pausgarciaa @SofiaHdz1724 Pensé que estabas enojada wowow
Anger,Pican jjjuerte los mosquitos 
Anger,La manipulación del poder en forma déspota es una afrenta contra la democracia y esto favorece la corrupción. #corrupciónColombia
Anger,Sufro de insomnio provocado por la estupida guardia
Anger,Por cada mifuto de enfado perdamos sesenta segundos de felicidad.
Anger,"@Miotroyo2parte @amparelampa Solo hay que verle la cara de amargada, gentuza y aborto viviente. Para comprender todo. Asco dais asco !!!!!"
Anger,"cuando empezó todo me prometí que no pasarían algunas cosas, y hoy... paso!!! #decepcionada #triste #enojada"
Anger,@trepidwarrior esque mi internet esta ripeando ya despues como a las 11 ira bien
Anger,"@manuelrosalesg Verdad ? Te creemos ? Tu huiste como lo q eres un traidor y cobarde, después negociaste tu salida con esas ratas del  Psuv"
Anger,@zaurendrunks @aIrengoaIz @onlyIaurens Cállate señorita venganza
Anger,"Lo peor es que como solo te atienden por mail, no se hacen cargo!, la atención al cliente post venta es de #terror @DespegarAr"
Anger,Ellos darían hasta su vida por nosotros y hay personas que los maltratan y menosprecian. 😭
Anger,@adnradiochile Tienen el tremendo billete... Eso tienen x que abren la boca y queda la escoba
Anger,"Xq el silencio de los ""opositores"" @SergioMassa y @RandazzoF sobre el atropello a la procuraduría??"
Anger,@rvenegasq Hoy todo es fake 
Anger,"Mi mayor problema es que no puedo estar enfadado. Siempre termino perdonando a las personas, incluso cuando no lo merecen.😚"
Anger,"Me da mucha rabia cuando poneis: ""ay si yo hablara...."" HOLA????? PUES CUENTALOOOOOOOOO"
Anger,Está forma tan cobarde de decirnos que no ... ☕️🍃
Anger,"Si tomó su vida por su decisión o por un juicio impedido por una trastorno depresivo mayor, es asunto de él. Mientras no sepan, no juzguen."
Anger,@MatiPagliano La concha de tu vieja! Mañana vas a terminar muerto en espalda 
Anger,"Vergüenza me hace pasar Meli , perdón mami por las amigas que tengo jajaj"
Anger,"@FlavioBuccino gorilaje desesperado. chúpenla! VIVA PERÓN, CARAJO! ✌️"
Anger,"En RD la gente cree que es por el escudo en la bandera que no entran los huracanes, más no en la misma provincia La Altagracia #Ironía"
Anger,"Me dicen ""sin ofender"" y me ofende un vergo"
Anger,Queee uraaaaaa 😡😡😡😡😡😡
Anger,Voy a contener mi rabia contra los que bancan a miss bolivia
Anger,"Alguien puede explicarme la lógica de #TripTank? Por más que le busco lo gracioso, sólo quedo con la sensación de #WTF?"
Anger,odio que me toquen el cuello que sensacion horrible no me gusta
Anger,"ESTAS""FANS""NUEVAS QUE HAN SALIDO DE LOS CHICOS SON FALSAS Y VIENEN A INSULTAR AL FANDOM DE 1D PENDEJA NI SIQUIERA HAZ VIVIDO LO QUE FUE ESO"
Anger,"Odio la gente cerrada, que no se deja ayudar. Para colmo la mayoría de la gente que quiero es así "
Anger,"al principio me pareciste muy divertida y jamas me diste el avionazo o te fuiste, la culpa es mía, no vuelvo a hablarte"
Anger,"@cquirarte Qué feo que venga la alegría se este prestando a esta farsa me dé secciona no pensé ver esto en tvz , eso solo en Televisa"
Anger,"Merlí, How to get away, 13 reasons, StrAnger things, Narcos.. se van a dignar en aparecer denuevo algun dia? Me tienen abandonada.."
